
# MALT-1
MALT-1	MALT-1
MALT1	MALT-1
IMD12	MALT-1
MLT	MALT-1
MLT1	MALT-1
PCASP1	MALT-1
MALT1 protease	MALT-1
caspase-like protein	MALT-1
paracaspase-1	MALT-1
mucosa associated lymphoid tissue lymphoma translocation gene 1	MALT-1
mucosa-associated lymphoid tissue lymphoma-translocation protein 1	MALT-1
# ULK1/2
ULK1/2	ULK1/2
ULK1Unc-51 like autophagy activating kinase 1/2	ULK1/2
ATG1	ULK1/2
ATG1A	ULK1/2
UNC51	ULK1/2
Unc51.1	ULK1/2
hATG1	ULK1/2
serine/threonine-protein kinase ULK1	ULK1/2
ATG1 autophagy related 1 homolog	ULK1/2
autophagy-related protein 1 homolog	ULK1/2
# TAPAS
TAPAS	TAPAS
N-Truncated Amyloid Peptide Antibodies	TAPAS
# GalR2
GalR2	GalR2
Galanin Receptor 2	GalR2
GAL2-R	GalR2
GALNR2	GalR2
GALR-2	GalR2
galanin receptor type 2	GalR2
# eIF4A
eIF4A	eIF4A
eukaryotic initiation factor-4A	eIF4A
DDX2A	eIF4A
EIF-4A	eIF4A
EIF4A	eIF4A
eIF-4A-I	eIF4A
eIF4A-I	eIF4A
eukaryotic initiation factor 4A-I	eIF4A
ATP-dependent RNA helicase eIF4A-1	eIF4A
eukaryotic initiation factor 4AI	eIF4A
eukaryotic translation initiation factor 4A	eIF4A
# Integrin B5
Integrin B5	Integrin B5
Integrin beta-5 	Integrin B5
integrin beta-5	Integrin B5
testis secretory sperm-binding protein Li 217p	Integrin B5
# SPNS2
SPNS2	SPNS2
Sphingolipid Transporter 2	SPNS2
SLC62A2	SPNS2
protein spinster homolog 2	SPNS2
SPNS sphingolipid transporter 2	SPNS2
spinster homolog 2	SPNS2
# NOX2
NOX2	NOX2
NADPH oxidase 2	NOX2
AMCBX2	NOX2
CGD	NOX2
GP91-1	NOX2
GP91-PHOX	NOX2
GP91PHOX	NOX2
IMD34	NOX2
p91-PHOX	NOX2
cytochrome b-245 heavy chain	NOX2
CGD91-phox	NOX2
NADPH oxidase 2	NOX2
cytochrome b(558) subunit beta	NOX2
cytochrome b-245 beta polypeptide	NOX2
cytochrome b558 subunit beta	NOX2
heme-binding membrane glycoprotein gp91phox	NOX2
neutrophil cytochrome b 91 kDa polypeptide	NOX2
p22 phagocyte B-cytochrome	NOX2
superoxide-generating NADPH oxidase heavy chain subunit	NOX2
# CCR8
CCR8	CCR8
Chemokine Receptor 8	CCR8
CC-CKR-8	CCR8
CCR-8	CCR8
CDw198	CCR8
CKRL1	CCR8
CMKBR8	CCR8
CMKBRL2	CCR8
CY6	CCR8
GPRCY6	CCR8
TER1	CCR8
C-C chemokine receptor type 8	CCR8
CC chemokine receptor 8	CCR8
CC chemokine receptor CHEMR1	CCR8
CC-chemokine receptor chemr1	CCR8
chemokine (C-C motif) receptor 8	CCR8
chemokine (C-C) receptor 8	CCR8
chemokine (C-C) receptor-like 2	CCR8
chemokine receptor-like 1	CCR8
# CtBP1/2
CtBP1/2	CtBP1/2
C Terminal Binding Proteins	CtBP1/2
BARS	CtBP1/2
HADDTS	CtBP1/2
C-terminal-binding protein 1	CtBP1/2
brefeldin A-ribosylated substrate	CtBP1/2
C-terminal-binding protein 2	CtBP1/2
ribeye	CtBP1/2
# tRNA synthetase
tRNA synthetase	tRNA synthetase
aminoacyl tRNA synthetase	tRNA synthetase
# TREK2
TREK2	TREK2
TREK2 Potassium channel	TREK2
K2p10.1	TREK2
PPP1R97	TREK2
TREK-2	TREK2
KCNK10	TREK2
potassium channel subfamily K member 10	TREK2
2P domain potassium channel TREK2	TREK2
TREK-2 K(+) channel subunit	TREK2
TWIK-related K+ channel 2	TREK2
outward rectifying potassium channel protein TREK-2	TREK2
potassium channel TREK-2	TREK2
potassium channel, subfamily K, member 10	TREK2
potassium channel, two pore domain subfamily K, member 10	TREK2
protein phosphatase 1, regulatory subunit 97	TREK2
# TASK2
TASK2	TASK2
Ion channel (K+ 2-pore channel)	TASK2
K2p5.1	TASK2
KCNK5b	TASK2
TASK-2	TASK2
KCNK5	TASK2
potassium channel subfamily K member 5	TASK2
K2P5.1 potassium channel	TASK2
TWIK-related acid-sensitive K(+) channel 2	TASK2
TWIK-related acid-sensitive K+ channel 2	TASK2
acid-sensitive potassium channel protein TASK-2	TASK2
potassium channel, subfamily K, member 1 (TASK-2)	TASK2
potassium channel, subfamily, member 5 (KCNK5)	TASK2
potassium channel, two pore domain subfamily K, member 5	TASK2
